DOB,ID,JoinedDate,Name,OtherExpertise,Specialization,YearOfExperience,isSenior,Username,Password
6/24/1989,1,12/12/2012,Bruce Wayne,fighting|shooting|driving,Family,3,Yes,bwayne,123abc
6/25/1989,2,12/13/2012,Dick Grayson,fighting|driving,Criminal,4,Yes,dgrayson,123abc
6/26/1989,3,12/14/2012,Jim Gordon,shooting|driving,Criminal,5,Yes,jgordon,123abc
6/27/1989,4,12/15/2012,Tim Drake,fighting|shooting|debating,Criminal,6,Yes,tdrake,123abc
6/28/1989,5,12/16/2012,Jason Todd,fighting|talking|driving,Criminal,2,No,jtodd,123abc
6/29/1989,6,12/17/2012,Barb Gordon,fighting|shooting|driving,Criminal,10,Yes,bgordon,123abc
6/30/1989,7,12/18/2012,Amanda Walter,fighting|shooting|driving,Criminal,2,No,awalter,123abc
7/1/1989,8,12/19/2012,Linkin Park,fighting|shooting|driving,Corporate,4,No,lpark,123abc
7/2/1989,9,12/20/2012,John Doe,fighting|shooting|driving,Corporate,5,No,jdoe,123abc
7/3/1989,10,12/21/2012,Johnny Storm,fighting|shooting|driving,Corporate,2,No,jstorm,123abc
7/4/1989,11,12/22/2012,Rick Richman,fighting|shooting|driving,Corporate,3,No,rrichman,123abc
7/5/1989,12,12/23/2012,Manta Style,fighting|shooting|driving,Family,5,No,mstyle,123abc
7/6/1989,13,12/24/2012,Black Bar,fighting|shooting|driving,Corporate,2,No,bbar,123abc
7/7/1989,14,12/25/2012,Mayuko Smith,fighting|shooting|driving,Corporate,1,No,msmith,123abc
7/8/1989,15,12/26/2012,Jim Nguyen,fighting|shooting|driving,Family,2,No,jnguyen,123abc
7/9/1989,16,12/27/2012,Happy Love,fighting|shooting|driving,Corporate,1,No,hlove,123abc
